url;name;category;ingredients;steps;calories;protein;fat;carbohydrates
https://www.povarenok.ru/recipes/show/178860/;"Хот-дог по мотивам ""Цезаря""";Закуски;"Булочка (для хот-догов ТМ Bagerstat) — 2 шт
Филе (индейки или курицы) — 300 г
Соль
Специи (сушеные томаты, базилик, чеснок) — по вкусу
Масло растительное (для жарки) — 1 ст. л.
Помидор — 1 шт
Листья салата / Салат — 1 пуч.
Чеснок — 3 зуб.
Майонез — 2 ст. л.
Сметана — 2 ст. л.
Горчица (по вкусу) — 1 ч. л.
Сыр твердый — 30 г
Сок лимонный (по вкусу) — 1 ч. л.";"Шаг 1: Бумагу для выпечки тонко смазать растительным маслом без запаха. Филе индейки (или куриное) нарезать пластинками, посолить, добавить специи по вкусу.
Шаг 2: Выложить филе на бумагу для выпечки, сверху накрыть листом. Готовить на гриле, накрыв крышкой, примерно 8-10 минут до готовности. Мясо можно приготовить на сковородке традиционным способом.
Шаг 3: Готовое мясо оставить в бумаге на выключенном гриле, накрыв крышкой, так оно сохранит тепло и сочность.
Шаг 4: Традиционный салат славится своей заправкой, но ее приготовление требует определенной сноровки, поэтому в моем рецепте чесночный соус готовится на основе майонеза. Чеснок пропустите через пресс в небольшую мисочку. Добавьте лимонный сок, горчицу, майонез, сметану, посолите и поперчите по вкусу. Тщательно перемешайте.
Шаг 5: Вместо салата романо использую любой листовой салат. Важно помнить, что нежные листочки быстро теряют привлекательный вид после смешивания с заправкой, поэтому собирайте хот-дог перед подачей на стол. Листья салата вымойте и хорошо обсушите, разложив на бумажном полотенце. Порвите салат на удобные для еды кусочки. Филе нарезать длинной соломкой или произвольно.
Шаг 6: Для приготовления хот-догов использую булочки от ТМ Bagerstat. Булочки раскрыть, щедро смазать соусом, выложить слой нарезанного филе, с одного края проложить листья салата.
Шаг 7: С другого края выложить слой тонко нарезанных половинок помидор, выложить слой соуса на кусочки мяса, сверху посыпать натертым сыром (твердый по своему вкусу). По желанию сверху сыра можно выложить половинки перепелиных яиц.";165.3 ккал;8 г;8.4 г;12.7 г
https://www.povarenok.ru/recipes/show/178859/;Хот-дог по мотивам азиатской кухни;Закуски;"Булочка (для хот-догов ТМ Bagerstat) — 4 шт
Говядина (филе куриное или индейки) — 400 г
Соевый соус — 5 ст. л.
Имбирь — 40 г
Перец чили — по вкусу
Перец черный — по вкусу
Мед — 1 ч. л.
Лимон — 0,5 шт
Масло растительное (для жарки) — 1 ст. л.
Перец болгарский (по половинке красного и желтого) — 1 шт
Кунжут — 1 ст. л.
Листья салата / Салат — 1 пуч.
Чеснок — 3 зуб.
Крахмал — 1 ч. л.
Вода — 5 ст. л.";"Шаг 1: Мякоть говядины (филе курицы или индейки) нарезать тонкими полосками (чем тоньше, тем лучше, но не переусердствуйте, иначе мясо будет сухим), нарезать нужно поперек волокон, так мясо станет мягче, его быстрее приготовить и легче будет прожевать.
Шаг 2: В глубокую сковородку налейте растительное масло, разогрейте его. Выложите мясо в сковородку и обжарьте его. Во время жарки с говядины выпаривается излишняя влага, после этого мясо начинает обжариваться и приобретать золотистую корочку. Сразу после этого момента необходимо будет добавить в сковородку перец.
Шаг 3: Болгарский перец тонко нарежьте соломкой, затем добавьте в сковородку к мясу. Все ингредиенты тщательно перемешайте и готовьте на протяжение примерно двух минут. Зубчики чеснока измельчите в пюре с помощью чеснокодавки, добавьте чеснок к мясу и овощам, тщательно все перемешайте и готовьте ещё 3 минуты. За это время говядина и перец успеют пропитаться чесночным запахом и необыкновенным ароматом.
Шаг 4: Имбирь очистите от кожуры, натрите на мелкой терке и отожмите сок. Нам потребуется примерно 1 ч. л. имбирного сока. Соедините соевый соус, воду, мед, сок лимона (по вкусу) и сразу добавьте одну чайную ложку крахмала, перемешайте, добавьте сок имбиря, приправьте соус двумя видами перцев.
Шаг 5: Вымешайте соус, добавьте его в сковородку, затем все тщательно перемешайте. Продолжайте приготовление под крышкой на низком огне примерно пять-десять минут, за это время соус загустеет и придаст мясу необычайный вкус и аромат. Попробуйте на вкус и по необходимости прибавьте недостающие во вкусе ингредиенты!
Шаг 6: Для приготовления хот-догов использую булочки от ТМ Bagerstat. Булочки раскрыть, положить внутрь промытые листья салата, щедрую порцию говядины в имбирного-соевом соусе, сверху посыпьте обжаренными семенами кунжута. Подавать немедленно!";168.7 ккал;8.5 г;6.5 г;17.9 г
https://www.povarenok.ru/recipes/show/178858/;Тефтели в томатно-сметанном соусе;Готовим в мультиварке;"Фарш мясной — 500 г
Рис — 100 г
Томатная паста — 70 г
Сметана (15%) — 100 г
Вода — 200 мл
Яйцо куриное (С1) — 1 шт
Соль — 1 ч. л.
Специи — по вкусу";"Шаг 1: Для комфортной готовки приготовим все продукты.
Шаг 2: Делаем подливку смешивая - воду, пасту и сметану. Делаем тефтели смешивая фарш, рис, соль, специи и яйцо.
Шаг 3: Отправляем в чашу тефтели и заливаем их подливкой — Режим «Тушение» 40 минут. (При желании к концу готовки, можно тефтели перевернуть)
Шаг 4: Тефтели в томатно-сметанном соусе - ГОТОВЫ!!!";117.1 ккал;2.1 г;2.9 г;6.9 г
https://www.povarenok.ru/recipes/show/178857/;Бургер с двойным сыром;Закуски;"Булочка (для бургеров ТМ Bagerstat) — 2 шт
Фарш мясной (говяжий) — 250 г
Лук красный — 20 г
Перец болгарский — 15 г
Зелень (укроп, петрушка) — 2 г
Майонез — 2 ст. л.
Горчица — 1 ст. л.
Сыр твердый — 20 г
Сыр плавленый — 2 ломт.
Соль (по вкусу)
Перец черный (по вкусу)
Кориандр (молотый, по желанию) — 0.5 ч. л.";"Шаг 1: Фарш я всегда делаю сама, так ты точно знаешь из чего он)). Лучше всего подойдёт говяжий фарш, так как можно не бояться готовить котлеты разной степени прожарки. Для соуса я взяла зерновую горчицу, подойдёт любая другая, но мягкая.
Шаг 2: Мелко нарезать лук, перец и зелень.
Шаг 3: Вмешать в фарш, а так же посолить и поперчить по вкусу. Я добавила для аромата немного кориандра.
Шаг 4: Удобнее формировать котлеты при помощи кольца. Для этого надо разделить фарш на четыре равные части. Выложить на низ фарш и разровнять. В центр выложить один или пару кусочков сыра.
Шаг 5: Сверху выложить ещё одну часть фарша. Хорошенько придавить.
Шаг 6: Так сформировать две котлеты..
Шаг 7: В мангале нажечь угли. Выложить котлеты на решётку.
Шаг 8: Жарить котлеты, переворачивая. Примерное время 10-13 минут. Я поняла, что котлеты готовы, когда в центре стал ""показываться"" сыр.
Шаг 9: На котлеты выложить ломтики плавленного сыра. Булочки разъединить и подсушить на решётке.
Шаг 10: Низ булочек смазать майонезом с горчицей.
Шаг 11: Сверху разместить котлету с сыром. Накрыть верхушкой булочек.";202.2 ккал;5.2 г;6.3 г;18 г
https://www.povarenok.ru/recipes/show/178856/;Хот-дог с говядиной и грибами;Закуски;"Говядина — 250 г
Вода — 50 мл
Соль — 2 щепот.
Шампиньоны — 100 г
Лук репчатый — 1 шт
Масло растительное — 2.5 ст. л.
Кетчуп — 2 ст. л.
Специи (итальянские травы) — 1 ч. л.
Булочка (для хот-догов ТМ Bagerstat) — 2 шт
Листья салата / Салат — 1 пуч.
Сыр плавленый — 4 ломт.";"Шаг 1: Говядину обтереть солью и растительным маслом (1/2 ст. л), переложить в чашу мультиварки. Добавить 50 мл. воды. Тушить 1.5 часа.
Шаг 2: Шампиньоны помыть, снять пленочку с шапочек, нарезать дольками.
Шаг 3: Обжаривать на растительном масле минуты 3.
Шаг 4: Лук почистить, помыть, нарезать полукольцами, добавить к грибам. Обжаривать до мягкости лука.
Шаг 5: Говядину разобрать на волокна.
Шаг 6: Переложить мясо в сковороду, добавить 50 мл. бульона из мультиварки, кетчуп и специи. Хорошо перемешать, готовить на среднем огне 2-3 мин.
Шаг 7: Для приготовления хот-догов я буду использовать булочки ТМ Bagerstat.
Шаг 8: Булочки раскрыть, положить внутрь промытые листья салата.
Шаг 9: Сверху ломтики плавленого сыра.
Шаг 10: Затем говядину с грибами.";153.2 ккал;8.6 г;7.9 г;11.5 г
https://www.povarenok.ru/recipes/show/178855/;"Хрустящие булочки ""Яблоко-корица""";Десерты;"Булочка (для бургера с кунжутом от Bagerstat) — 2 шт
Моцарелла — 50 г
Мороженое — 1 ст. л.
Яблоко — 1 шт
Масло сливочное (или кокосовое) — 20 г
Корица — по вкусу
Мед (сахар) — 1 ч. л.";"Шаг 1: Яблоко очистить от сердцевины, нарезать ломтиками средней толщины, по желанию сбрызнуть лимонным соком.
Шаг 2: Обжарить на разогретой со сливочным (кокосовым) маслом сковороде на среднем огне с одной стороны.
Шаг 3: Перевернуть дольки, полить медом по вкусу (или сахаром), обжарить до подрумянивания с другой стороны.
Шаг 4: Булочки с кунжутом от Bagerstat подсушить на гриле с двух сторон, предварительно слегка смазав полотно гриля растительным маслом.
Шаг 5: На подсушенную половинку булочки выложить ломтики моцареллы.
Шаг 6: Затем выложить слой карамелизированных яблок и и запечь в разогретой духовке под грилем до расплавления сыра (пара минут).
Шаг 7: Другой вариант подачи - на подсушенную половинку булочки выложить веером дольки карамелизированных яблок, сверху выложить шарики мороженного. Подавать немедленно!";221.5 ккал;5.7 г;8.6 г;27.2 г
https://www.povarenok.ru/recipes/show/178854/;Быстрые пирожки из постного дрожжевого теста;Выпечка;"Масло оливковое (или подсолнечное рафинированное) — 1 ст. л.
Капуста белокочанная / Капустa — 300 г
Лук репчатый (луковица крупная) — 1 шт
Рис (сваренный рис) — 5 ст. л.
Соль — по вкусу
Вода — 50 мл
Мука пшеничная / Мука — 200 г
Сахар — 1 ч. л.
Соль — 0,5 ч. л.
Дрожжи (быстродействующие) — 1 ч. л.
Вода (тёплая) — 100 мл
Масло оливковое (рафинированное) — 1 ст. л.
Масло оливковое (рафинированное для обмазки пирожков перед выпечкой) — 1 ст. л.";"Шаг 1: Делаем начинку. Рис должен быть уже отваренный. В сковороду наливаем масло, греем его и выкладываем лук, порезанный произвольно. Золотим лук до мягкости. Не зажаривайте сильно, это скажется на вкусе пирожков. Выкладываем к луку капусту, нашинкованную произвольно, но не крупно. Обжариваем с минуту, присаливаем. Капуста даст сок, доливаем немного воды и томим капусту под крышкой до готовности на минимальном огне. Когда капуста будет готова, открываем крышку, прибавим огонь и готовим её до полного выпаривания влаги. Добавляем рис отваренный, перемешиваем, пробуем на соль (если надо, то корректируем по вкусу) и снимаем с огня.
Шаг 2: Пока капуста готовится, замешиваем тесто. Муку просеиваем в посуду, где будем делать тесто. Добавляем соль и сахар, а так же - дрожжи. Перемешиваем, делаем углубление по центру и наливаем туда воду и масло. С оливковым маслом пирожки будут румянее. Силиконовой лопаткой замешиваем тесто, а затем начинаем работать руками. Смажем их немного маслом. Тесто отличное. К рукам не липнет. Скатываем в шар, помещаем в посуду, накрываем полотенцем и ставим в тёплое место на 30 минут. Я грею духовку до т-50 С. Через 30 минут вынимаем тесто. Обминаем его хорошенько, скатываем в ""колбаску"" и делим на части (это будет количество пирожков). У меня тесто поделилось на 9 частей. Каждую часть скатываем в шарик, накрываем полотенцем и по-одному начинаем раскатывать скалкой и сразу начинять. Доску не нужно подпылять мукой. Тесто к ней не липнет. Раскатываем тонко в эллипс с размером осей ~10 на 8 см.
Шаг 3: Выкладываем начинку. У меня уходило на 1 пирожок ~2 ст л (может чуть меньше). Тесто тянется хорошо и не рвётся. Закрепляем края пирожка, формируем форму его и выкладываем сразу на противень. Я буду выпекать пирожки на силиконовом коврике. Пирожки укладываем швом вниз. У меня эл. шкафчик на 18 л. Количество сформированных пирожков как раз на 1 противень. Укладываем с небольшим расстоянием друг от друга. Выложили, накрыли полотенцем и поставили опять в тепло минут на 15. Через 15 минут пирожки немного подрастут, вилкой делаем дырочки (см. на фото), обмазываем верх кисточкой с маслом, чтобы они зарумянились при выпечке. Ставим противень в разогретую духовку до т-180 С на 20 минут. Мне этого времени хватает. Ориентируйтесь на свою духовку. Пирожки готовы. Нужно приготовить глиняную посуду с крышкой обязательно. Начинка останется, её можно использовать как гарнир к чему-то.
Шаг 4: Горячие выпеченные пирожки складываем в глиняную посуду. Я использую всегда горшок. В глиняной посуде под крышкой пирожки постные долгое время не зачерствеют (тесто-то на воде!) и будут мягкими и вкусными даже остывшие.
Шаг 5: Завариваем чай и пьём его вприкуску с пирожками.
Шаг 6: Вот такой пирожок в разломе. А какой аромат по дому!";182.7 ккал;3.5 г;7.5 г;25.8 г
https://www.povarenok.ru/recipes/show/178853/;"Булочка по мотивам ""Капрезе""";Закуски;"Булочка (с кунжутом от Bagerstat) — 2 шт
Моцарелла — 100 г
Помидор (крупный) — 1 шт
Орехи — 1 горст.
Сыр твердый — 50 г
Зелень (петрушка+зеленый базилик) — 2 пуч.
Чеснок (крупный) — 1 зуб.
Масло оливковое — 50 мл
Соль — по вкусу
Перец черный — по вкусу";"Шаг 1: Булочки с кунжутом от Bagerstat подсушить на гриле с двух сторон, предварительно слегка смазав полотно гриля растительным маслом.
Шаг 2: Для приготовления зеленого соуса погрузить базилик и петрушку (в моем случае петрушка, листики и сочные тонкие веточки) в блендер, добавить орехи (в идеале кешью, но подойдут также арахис, фундук, грецкий и т. п.), чеснок, нарезанный кусочками сыр (в идеале пармезан, в данном варианте использую обычный сыр), соль, перец молотый. Включить блендер и пробить массу до однородного состояния, постепенно добавляя масло. Соус должен получиться густым.
Шаг 3: Моцареллу нарезать ломтиками, помидор половинками средней толщины.
Шаг 4: На первую половинку булочки выложить внахлест нарезанные кружки помидор и моцареллы, чередуя их, и запечь в разогретой духовке под грилем до расплавления сыра.
Шаг 5: Щедро смазать подсушенную вторую половинку булочки зеленым густым соусом. Соединить обе половинки булочки, подавать немедленно горячим!";252.1 ккал;7.8 г;16.2 г;19.4 г
https://www.povarenok.ru/recipes/show/178852/;Завтрак из булочек на французский манер;Выпечка;"Булочка (у меня булочки для бургера с кунжутомТМ Bagerstat) — 3 шт
Яйцо куриное (С1) — 3 шт
Молоко — 3 ст. л.
Ванильный сахар — 1 ч. л.
Корица — 1/3 ч. л.
Сахарная пудра (для посыпки) — по вкусу";"Шаг 1: Молоко налить в глубокую пиалу. Форму для кексов (лучше использовать силиконовую), если необходимо смазать маслом. Я свою не смазывала.
Шаг 2: Булочки поломать на небольшие кусочки и заполнить ими форму для выпекания. Я раскладывала по половине булочки в каждую, используя верх и низ. К молоку добавить яйца, ванильный сахар и корицу. Тщательно взбить вилкой.
Шаг 3: Разлить получившуюся смесь по формочкам. У меня в каждую получилось добавить по 4 столовой ложки. Отправить запекаться в разогретую до 180 градусов духовку минут на 25-30, до зарумянивания.
Шаг 4: Готовые кексы вынуть из формы, дать остыть и посыпать сахарной пудрой.";236.5 ккал;9.2 г;6.8 г;31.8 г
https://www.povarenok.ru/recipes/show/178851/;Сердце под гнетом;Закуски;"Сердце (оленя) — 1 кг
Соль — 2 ч. л.
Перец черный — 2 ч. л.
Кориандр — 0,5 ч. л.
Паприка сладкая — 1 ч. л.
Уцхо-сунели — 0,5 ч. л.
Масло растительное — 1 ст. л.";"Шаг 1: Первым делом мы сердце размораживаем в холодильнике. Затем отвариваем до готовности.
Шаг 2: Смешиваем специи
Шаг 3: Добавить растительное масло, хорошо перемешать.
Шаг 4: Полученной кашицей тщательно обмазать сердце со всех сторон.
Шаг 5: Завернуть в пакет и отправить под тяжелый гнет на сутки в холодное место.
Шаг 6: Вот такая «лепешечка» у нас получается.
Шаг 7: Нарезаем тоненькими ломтиками и наслаждаемся великолепным вкусом.";155.3 ккал;14.5 г;10.6 г;0.4 г
